product,license,message
digdag,https://github.com/treasure-data/digdag/blob/master/LICENSE[Apache License 2.0],-
embulk,https://github.com/embulk/embulk/blob/master/COPYING[Apache License 2.0],-
// compare-files,https://github.com/scenario-test-framework/compare-files/blob/master/LICENSE[Apache License 2.0],-
// log-filter,https://github.com/scenario-test-framework/logfilter/blob/master/LICENSE[Apache License 2.0],-
Smashicons,https://file000.flaticon.com/downloads/license/license.pdf[Flaticon Basic License],image icons designed by Smashicons from Flaticon
